字段,标题1
"Dr. Zach,       As a BTX investor should I be concerned with the competition from Astellas Pharma in the pursuit of a cure for AMD.  Wasn't Ocata much further along with a very similar operation of RPE injections before being taken over by Astellas.  Was there a problem with the legal  ownership of the source of the original stem cells in the Ocata studies?  I was never exactly clear on what actually occurred there with that issue, or was it ever an issue?     As always, we appreciate your time and talent in educating us.Best,BamMA",
prior to becoming caladrius this company was called neostem and they really lost a lot of money for a lot of people so be very wary,"3 Things In Biotech, March 9: Amgen Rises, BioTime Advances, Caladrius Updates"
"Some of the best performing stocks look very expensive right now (TREE, NFLX, ABMD, ALGN). In hindsight they were extremely cheap compared to their market share potential. We'll probably need a bear market again to see those type of market thumping returns.",
The winners are penny stocks selling under $5 from the get go. Most people never hear about the potential winners until they are selling above the $10 range. Lack of analysis buy the large Wall Street firms until these winners have peaked keep these names from gaining media traction. We finally hear about these firms when the frenzy is all about shorting such stocks. Trying find the winners in penny stocks is difficult and is far too easy to lose one's shirt in the process.,
Dana is in my home town. A lot of people got rich on a well timed buy in. A lot of people lost as well. Just like with GE which is also here. Someone just texted their loss to me yesterday. Painful. Planning to set aside some cash to try use to buy “penny stocks” when things get tough. We will see if it does anything in the very long term.,
"I don't any stock from either list, 21 worst or 25 best!And yet I own many good stocks (e.g. Boeing, Google, Unilever etc.) and a few disappointing ones (e.g. Rolls Royce Holdings, Mattel).",
I currently own 4 of the worst performing (having already sold off 2 others) and none of the top performing. I should open an investment advisory service.,
I think only 23 of the 25 big winners were touted here on SA,
what GGP used to be a penny stock? I wish I saw that story as it unfolded.,Best And Worst Performing S&P 1500 Stocks Of The Bull Market
what GGP used to be a penny stock? I wish I saw that story as it unfolded.,AV Homes - One Year Later Still A Buy
"I've been wearing Hanes' underwear- I mean ""innerwear""- for almost 20 years now. At first they were made in North Carolina (with inspector #6 overseeing quality control. Then they moved to the Dominican Republic - I guess inspector # 6 retired in place back in N.C. Then they moved to India (may have  stopped in Jordan before that.) Now ther ""Innerwear"" comes from Vietnam.They have made many improvements over the years, but one thing that has been notiecably failing in the past 3 years (both products from India and Vietnam) is the leg holes in their otherwise fine briefs. One that I purchased in 2015 (India) had the right leg hole so small I couldn't wear it. I put it aside to complain to Hanes, but forgot about it. Last week I pulled it out of  the to do pile and the seam between the back panel and the front had started coming apart- this usually only happens after extended wear and wash cycle.My latest purchase earlier this year- from Vietnam has slightly smaller right leg holes- must have only shipped the defective machinery from India to Vietnam.Inspector #6 would be horrified!",
"Good article.  I have been building a position in this stock over the last month. The very good ROIC tells me that the acquisitions have been accretive and made at a reasonable price.  In other words, the debt has been put to good use and is producing good cash flow. Brands mean a lot in undergarment business. People repeat buy these products much of the time. I invest with a 5 -10 year horizon. I also like the fact that they have locked in much of their long term debt at fixed rates. Interest rates are still artificially low and locking them in here makes a lot of sense to me. I look at a lot of stocks. I can't find anything good reason why these shares should trade at such a low multiple. That is rare. The big dig in the media about HBI is that the B&M retail channels are reducing sq footage. While that is true and will remain true for some time, people know that they can always go to WMT or Target or online to buy HBI's products. If you need new underwear, you need it. It will still be easy enough to find. If anything, one could argue that reduced B&M retail sq footage should help existing name brands vs  new competitors. People will seek out what they already know fits vs trying unknown products.",
"I'm very concerned about quality control with Hanes.  I've worn their socks all my life, but when I went to buy some last month they were no longer nice thick cotton, they were 90% polyester.  A lot of their reviews on Amazon mentioned shoddy construction, with socks falling apart after a few months.  I can understand if Hanes has to raise their prices, but cutting quality like that is going to ruin the company.",
I confess I don't find meaning in the graphic (exhibit 15). It's a new look to me.  Help!?,
"Since the end of 2014, Hanesbrands' long-term debt has increased from $1.6 billion to $3.7 billion. Its total debt-to-equity ratio during the same period has gone from 276% to 640%!! Rising debt levels can be dangerous as they typically mean higher interest rates especially in the current conditions being very conducive for higher inflation.  Given its increasing debt levels combined with its inability to beat shareholders' expectations, Hanes lacks the  critical horse power in terms of enterprise innovation especially in leveraging the strength of all the acquired companies. The supply chain that worked when everyone was buying from China without investing in hard assets for manufacturing is  now outdated  and not cost effective.  Hanes has almost  all of its manufacturing base outside the US - predominantly in China where they own the factories, which is also another area of concern given the current political climate. Investors have other  opportunities with far better rate of returns  and safety for their investments in the same sector.",
"Solid article, I agree HBI looks like good value here given FCF generation and opportunity for additional acquisitions. Vertical integration means they can rip out costs to achieve synergies. Unless I missed it you don't talk at all about the ongoing Project Booster to cut costs which should further reduce SG&A and improve margins.Multiple is likely compressed given the leverage profile. Not sure Nike and Gap are the correct comps though. Footwear, athleticwear, and fashion might be subject to other business drivers and have different margin structures (especially footwear).",
"Elad,  Nice artice and I apprecate your efforts.  Where did you get the WACC and Porters's 5 graphics?  Thanks",
"Elad, Great article and very well researched and written!",
I appreciate your in depth analysis. So many writers go the easy route of presenting a short superficial treatment of a stock with a catchy title simply to get clicks & lots of “atta boy” comments. Keep up the hard work of doing it right. My concern for HBI is the very competitive environments in which it operates & the fickleness of the consumer. As you point out there is intense competition in every line & as a result it must up its advertising expenses.,
"Is the assumption that HBI has ""strong, sustainable operating margins"" not somewhat unproven, especially as the article only shows operating margin up to 2015? In fact, operating margin has been declining, from 10.6% to 10.4% between FY15 and FY16 (ending 2nd January), and from 12.9% to 11.2% between CY16 and CY17? The 2017 margin decline is also apparent if one looks at individual segments, going from 22.2% to 21.4% in Innerware and from 14.0% to 13.8% in Activeware. I believe management has also guided to lower operating margins during the 1st half of 2018 as well, due to ""increased marketing investment and distribution expenses"".",
Why would you believe them after they lowered 2018 estimates and disappointed everyone so much,Hanesbrands: Championing A Compelling Upside
"I concur, those metrics you reference are likely spot on, sometimes I even walk into Caesars though and wonder what they were thinking...lol...we locals do however appreciate all tourist travel and spend !",
"While I don’t necessarily disagree with your numbers and other thoughts, i’ve lived in Vegas over 12 years, I will take exception that the maintaining of appearance it’s not as important as you think, we locals do know the difference between a casino that’s keeping itself presentable to all the customers that it serves versus those that don’t....hence the reason for example that many of us locals will not visit our friends should they choose to stay at Excalibur or Circus Circus....I’ll meet you at Green Valley Ranch or Red Rock, but should you decide to stay at Palace Station I’ll catch you next time around....",
"I visited the Palms Resort  in January and it was possibly the worst casino experience I've ever had in Las Vegas. Parts of the main level were walled off with loud construction noise and hard hats running around everywhere. The areas of the main level that were open were overstaffed and at times it felt like there were more employees than customers.  Even the parking structure was terrible, dimly lit with leaks and puddles everywhere from the rain. Purchasing the run down Palms Resort may have been a mistake for Red Rock, but keeping this property open during major renovation is an even a bigger one. RRR would have been well advised to close down for six months and have a grand reopening, rather than subject their customers to such an ongoing poor experience.",
"so stock has been trading 20-25 since back on line in 16.  Then November of 17 rolls around and it goes up 50%.   Seems like there might be some retracement as that was a major move already.  I own WYNN, LVS, and MGM but have some interest here.   Was the move due to the improvements you see and RRR was just languishing for so long that it kind of needed to catch up?  Due you think it has a decent chance to come back below $30 before moving up again?",
thanks for article. what's your opinion of management?,Red Rock Resorts: Don't Discount Regional Gaming
In at 47.26 and bought some calls also ...............sell off is over done.,
"I bought today at the open. After reading the quarterly report, I don’t think the 10% sell off was warranted at all. They have a history of over-delivering quarterly EPS vs guidance and this now looks like another undervalued retailer.",
Author’s reply »,Buy Big Lots After Big Loss
SEC fine of 2.8 million was written off in the third quarter last year ( page 33 annual report.)http://tinyurl.com/ya6...http://tinyurl.com/y9l...db,
"Correction:  Maxwell is hoping to secure a UC module win with a major OEM for the 2020, (not 2019) car model year. If secured it would be begin shipping late 2019.Possible reason for the tight range over the last month.http://bit.ly/2G0IKIY",
"Hopefully  Maxwell's  stock price will be new driven before year end, (better yet, before Sept. options expire), although I hold shares for the long term.Two possible news stories........Module for backup and peek power. I know they are shooting for the 2019 model year with ramp in 2020.Secondly, any partnership announcement for dry electrode in cars, power tools?  Maybe licensing, manufacturing. When? Who knows, but if they are going to supply auto with a module in 2019, it would be within a year. I will wait this position out.Watching and waiting and not selling........Like many others?  Maybe that's the reason no down draft on market selloffs.",
Author’s reply »,
Maxwell seems to be immune to market sell offs. Any Thoughts?Dow down 540 .....Maxwell flat.,
"very nice overview, update, and take-away.  very actionable.  thanks!so, is the wind energy opportunity pretty much a yawn or DOA?  wind is starting to take off, but no mention of it?  maybe Chinese ultracap makers are winning those nodes?I recall reading about stiff China competition a couple years ago, but they had quality problems with vibrations, which is a huge problem in EV buses.  too bad ultracap EV buses did not prove to be way cheaper than Li-ion ones. there were some pilot tests in China, but heard nothing since.",
"I’m also curious if anything ever came out of, or whether Maxwell’s jv with Corning is still active...? ... I think it was announced 2-3 years ago...appreciate an update if anyone has one, thanks",
There was a couple million in insider purchases in Nov as well. Validates management’s confidence in the potential outcome over the next 10 years.,Maxwell Technologies: Entering The Next Phase
CAG has dropped significantly.   Entry points on a rise with the large cap companies don't come along every day.,
"Beulah, what do you think of the pinnacle foods purchase… And what is your entry price for CAG?",
"A bit overpriced currently, would consider entry low 30s. Well see what the earning report shows",
"Long CAG here too, got in at $23.04, enjoyed the Lamb Weston spin off with a $20 cost basis, now mid 50's. Conagra is a good well managed company.",
"Long cag, got in at 33. managment has done a great job  with the product line compared to peers. They have targeted the needs of customers that want instant but healthy frozen foods and buying tuck in companies that compliments the portfolio. I expect another earnings beat coming up and a good year for cag.",
"Beulah, I took your advice and grabbed some UPS in February, it did look like a good entry point. Thanks, always enjoy your articles and research.",
"""If you've been reading my work on SA, you may have noticed that I tend to hone in on companies with the best margins in the segment they operate."" Numerous studies show that, with very few exceptions, margins tend to be mean-reverting within a given industry over time. When companies have higher margins than the broader industry, competitors tend to mimic/replicate their tactics, thereby eliminating the advantage and bringing margins back to the mean.Because I'm young, new to investing, and genuinely curious to hear your answer - Could you shine a little light onto any counterarguments you have that justify your strategy?",
👍,Conagra Brands: Good Buy Vs. Good Long-Term Holding
I recently purchased some Southwest stock and I agree that it is a great long term investment right now.,
"When I fly, SW is my Go to Airline. I’ve heard they have a good rewards program, too. Plus, I own some shares in LUV. Go SOUTHWEST...Go LUV!",
Luv me some Luv.,
Long and strong on LUV,
all good things. all good things. :),
"I hear nothing but great things about this company, not only in their plans for growth but also in employee and customer satisfaction. I am incredibly happy investing long term with LUV. Definitely is a stock that aligns with my values and heavy interest in air travel. I love LUV.",Southwest Airlines Continues Hot Start To 2018
NVO total profit from oral semi will be $100B .. net of offes existing biz will be $70B . Will increase share price 70% !!2.5% of $100B or $2.5B to emis or 50 fold increase in share price !!.. or,
"NVO’s Semaglutide is one of those drugs that will reduce healthcare cost nationally. Great company, and great long term return!",
"Would like to see NVO partner with GILD in the near future, to develop combination drugs against NASH.",
2.5% to 3% of oral semi goes to the company that is making the oral formulation possible .. it is Emisphere and has market cap if less than $70M fully diluted !!!,Semaglutide Can Prove To Be A Very Profitable Drug For Novo Nordisk In Future Years
"Wow, the last article on this company from the SA was four years ago.I am only 80% down :-). Hope I will see a five fold increase to break even. You never know.",
"I like this company a lot. i think one paycheck worth of savings invested into this company is probably not a bad idea. If Medtronic partners with Corindus, then this would be the next logical partnership. I do struggle with how they think the market for this product is 4B in size. who owns the remaining 3.97B they don't have?",
