字段,标题1
Author’s reply »,
"Congrats C.C., you were on this one early, hope this one continues upward for all longs.",
"Nice article!Like Xoma, Celldex, Vical, and Celsion and so on, Rigel has been up and down the biotech roller coast year after year, and never quite ""made"" it for an approved product. Hope this time they will be lucky.",
"""A phase 2 study of Tavalisse in IgAN is ongoing and will finish enrollment in 2017.""Are you sure? You're kind of going out on a limb with your prediction for 2017. (Or were you cutting and pasting from an old articleÉ)",
"I also thought this was a helpful, well-written article.  I have a small position and have been wondering what to do with it.  Appreciate the input.",
"I'm pretty heavily invested into BLRX, PFSCF, PLX and ATBPF I think the recent market pullback has presented some great buying opportunities for all of them. I will put RIGL on my watch list for now based on this very solid article. Great job C.C.!",
"Nice well thought out article, thanks!",Rigel Is A Buy For Its First NDA
Very interesting indeed! Many thanks!,
Thanks a lot!,A.P. Moller - Maersk Should Be On Your Radar
"I’m just starting to build a portfolio of lithium stocks, so right now I’m doing my due diligence. What I can tell you concerning the Morgan Stanley note is this, generally the retail brokers are at the very end of the tentacles of information at every major brokerage firm. If an analyst is going to downgrade or upgrade a particular stock or industry they will tell the institutional sales people first. Also, keep in mind that firms trade for their own account. There is supposed to be a “Chinese wall’ between research and trading. All The major firms push accounts with check writing privileges and credit or debit cards. In the paperwork of those accounts are margin papers, so even if you don’t use margin, your stocks are held in street name and can be borrowed or lent to a short seller which could be anybody or even the firm where you have the account.",
"Azachar,If you follow Matt, you know the answer.",
It seems Mark Bohlsen never heard of Tawana Resources - the first 2018 lithium producer in Australia.Not even mentioning of TAW in February lithium summary is not a good sign of lithium news knowledge by the author.,
"Dear Matt, is there a reason for the big drop of LIX's share price? any news / rumor on the acquisition?",
"On CC note comments about ""no grid demand factored in"" - if I heard correctly.Grid demand for storage could easily challenge if not surpass EV demand",
"Matt, thank you for sharing."" PILBF plans to begin production of lithium 2H2018."" this really good news, how can it speed the project this fast?",
"Bill,Like said before, that Morgan Stanley guy put a bucket of cold water on my lithium stocks. I did not know what was his motive, the supply tons and demand tons of lithium just do not add up but he can manipulate the market.",
"I just saw this headline: ""Lithium glut? No way, say industry executives eyeing demand"".  The link is below.  Others are saying the same thing.  Also, Pilbara came out with great news last night.  Matt, another great article--thanks for all your info.http://bit.ly/2F9dPc1",
"Folks,I never change my mind the bull cycle of lithium. I still know I will have the last laugh. ThatMorgan Stanley guy really pissed me off.",
