字段,标题1
"Think poor results will continue for at least another quarter or two.  Am long term buyer and holder of JD but will sell half of my holdings today.  Believe it can be bought back later at lower price.  You didn't mention the possibility of a market correction?  If one happens, whether in the U.S. or China, most of our big winners will drop as well.",
Great article and long term story here.  Hoping to see the mid 30s again on market volatility.  Want to double my position around 35.,
"As a DGI investor, JD is the only non-paying dividend stock I own. Missed my chances to buy Amazon at the “right time” buying JD, hope to see the same level of success as Amazon did.",
I agree with your upbeat assessment. I'm long at $38 with covered calls (June 45s). Hope to buy these back soon at or below 20 cents on the dollar (in an IRA that charges an annual fee but no commissions). Looking to buy more JD around $40. Good luck to the longs!,
"Agree with article and the comments made. Nice to read something that makes a point that it this company is an ""investment"" and for the ""long term.""  This morning looks like a further small dip and I am watching for another add to my position.  The selloff was a headline reaction but if you read the call, there was much more good to anything""bad.""",
"agreed, this is not a quarter by quarter company. If you are selling based on one quarter that wasnt even that bad, JD was never the right investment for you anyway.",
"JD Is very Dynamic, Aggressive and well received by their Costumers Company.Buy in dips and accumulate positions.JD Must try to Avoid to take BABA Head on in some areas.THERE  IS PLENTY ROOM FOR BOTH COMPANIES TO FLOURISH & DO EXTREMELY WELL.LONG ON: JD BABA & AABA",
awsome,
also long jd. what surprised me was that they added more than 26 million customers in this past quarter. i am a bit concerned about their recent expansion efforts. they are investing a lot in china and parts of SE Asia and still investing. would have preferred them to focus on these areas which have great potential in ecommerce before expanding to us and europe. they might be stretching themselves to thin  IMO,
"Did you see the margin guidance for FY18? Richard mentioned it on the call.Also long JD, AMZN, NFLX. Unfortunately in that order size.",
"Great article, thank you, very good points made, JD is a stock to own long-term.",Buy The Dip In JD.com Stock
"Great article, thank you, very good points made, JD is a stock to own long-term.",GreenTree Hospitality Group Files For $200 Million U.S. IPO
"What's up with Cramer and oil? No coverage of an entire sector because "" millenial money managers don't like oil"" Really??",
"was hoping to see more on BIDU, which I have a lot of.... All I can think of off the top of my head with BIDU is that it buys a lot of GPUs and partnerships with/ NVDA (which im also in )... But since AI is such a big target of China tech industry I don't see them wanting to sever those ties now. Iqiyi has deals with Netflix , don't see why that should be harmed either. BIDU doesn't need or particularly seek Search access to the US market, so no leverage there.    Other than the fear of actual conflict , is there a *Particular* soft spot to BIDU investment b/c of a tariff dispute ?  I don't see it at the moment...",
Cramer not Kremer! Spellchecks typo,
I watched Kremer for many years most of his stocks did not pay off for me I totally disagree with him about,Game Plan For The Week - Cramer's Mad Money (3/2/18)
Great podcast guys. I thought you had some great comments. You had some really nice points on making an amazon fence and to look for companies that can do that. One point on why I'm looking for GM to improve right away and why it is important. It's not that GM moving from 66% to 70% is super needed from a profit point. The reason I want to see the margin improve is for credibility of management. Their whole premise was that they need to stop discounting - so margins should improve if that was true right? This is supposed to be the quickest and easiest thing to fix - margins. So that's why it's a milestone - credibility for the rest of the story and should be immediate. Great job and thanks for taking it easy on me.,
Good podcast. Thanks for sharing!,
"interesting podcast, what do you guys think about home depot HD?",
Author’s reply »,
"Insiders look like they are doing some accumulating at these prices. I would say its a good thing, but not sure how good of a thing it is.",The Tile Shop Hits The Floor (Podcast)
"Insiders look like they are doing some accumulating at these prices. I would say its a good thing, but not sure how good of a thing it is.",PRO+ Weekly Digest: Focusing On The Basic Materials Sector Considering The New Steel And Aluminum Tariffs
"why is BLDR falling today? revenue beat, eps in line!",
"Thank you for the well-written analysis. I have been involved for a few years.But I have a significant concern in the drop in EBITDA margin pro forma the cost cutting.- As you note, they reported $313mm in Adj EBITDA in 2015- and they reported $419mm in 2017 on +16% in total sales- and as of Dec 31, 2016, they announced they had implemented $100mm of cost savings. So 2017 should contain at least $100mm of cost savings versus 2015 and probably a bit more.- so pro forma for these costs savings, Adj EBITDA in 2015 was $413mm and we have seen almost no EBITDA growth even though net sales up +16%.- gross margins explain about half of the shortfall, but where is the other half?- SFH growth has happened about as I expected, and I had 2017 Adj EBITDA at about $500mm, much higher than the $419mm realized. I admit that using 2015 gross margin was an error, but even including a lower gross margin, the numbers do not add up. The incremental operating margin from the +16% growth should be much higher than the average operating margin and yet we are not seeing it in the bottom line.What do you suppose is the reason?",
Thats truly impressive,
Thanks for the article. surprised the company has little coverage after blowing out earnings. been long since last year after ythe hurricane. i am surprised that the recent blowout earnings did not reflect rebuilding in texas. did the management say that during the conference call?,Builders FirstSource Earnings Are Accelerating Yet Remains Undervalued
Why is this posted with chk?,
Rating was sell at $2.56 and now $3.56. Big guys want to load then buy rating .. what a joke,
I would love to see the Trades he made and called in fy 2017 and how accurate he was in his forecasts.,
"Cramer has NO IDEA!  NO IDEA!Seriously, he has no clue how to call anything related to energy.  He should take his own advice and keep his mouth shut; jump in on a big trade or not, but while keeping mouth shut.",
Why stay away from CHK?,
