字段,标题1
regarding CELGThe CELG/IBB pair took out the 10/26/2017 plunge low..the all time low was set in june 2015 and we tested it today.. the CELG/SPY pair also took out its prior low set on same day..bottom line I got stopped out of CELG long expecting further underperformance vs both indices ..comments welcome,
"@Aurhor: You wrote "" The company anticipates that 2020 EPS will reach more than $12.5 per barrel, meaning investors who invest today will have a P/E ratio of just over 8 in a few years, compared to a market P/E ratio of roughly 25. The company has an impressive share buyback program that will provide even additional value.""The value of the share buyback programm (reducing Number of Shares outstanding (NOSH)) is already reflexted in the 2020E EPS, since that is based on the lower NOSH - right?",
"""The company anticipates that 2020 EPS will reach more than $12.5 per barrel,""per barrel?? TVP, you been writing to many articles on the energy sector, yes??? LOLAll jokes aside though, thanks for a fine article. CELG long",
Does anyone know if the 12.50$ eps forecasted for 2020 already takes into account the reduction of outstanding shares? thanks,
I took a substantial position recently based on all the things you mentioned here and few other factors that I believe will drive this stock up over the next 3 quarters.  Nice write-up,
"Im looking for an attractive entry. I work for Celgene, and have met some of the leadership. Amazing people. Both for the business and patients.",
"It's crazy. 1 day a firm downgrades the company. Another day a firm upgrades the company. It's almost like gambling. For the record, I'm a stock holder who is long.",Celgene - Strong Portfolio Should Support Growing Earnings
"@Fluidsdoc - Appreciate the article. Found it through my XOM dd. Interesting read, well presented. Not sure I'll ever be comfortable investing in CNOOC, or any NOCs, but eyes and mind remain open. I relate to your Dog House musings. Working offshore [back in the day] off Goleta, CA I learned quickly not to disclose my work to any of the locals while staying in town unless I was in the mood for a spirited debate/argument. Ironic perhaps (?) considering the intensity of the car culture here & the # employed by the sector. But then in the 70's being military was similarly held without respect if not outright disdain. I'm very thankful that at least now it's cool to applaud enlisted & vets.Long CVX, XOM",
"Thanks, Doc! Like always great article :).   Sad, that we dont have russian  mammoth like Lukoil ( only London ADR`s). Last year overall russian market quit lagged oil bounce too",
"Yep Fluidsdoc, I grew up in Southern California and after graduating from USC my career path immediately went international; bringing me to various locales throughout Asia and the Middle East. I've worked in investment banking out of UAE and the electronic components industry from Japan. My Asia expat status has become fairly permanent after a few condo purchases and building a house near Boracay Island, Philippines. Sunset views over South China Sea are wonderful.  I've been investing for a long time. My somewhat ""serious"" hobby comes from the enjoyment gained after carefully analyzing and selecting undervalued growth stocks from around the world (mostly US and Asia). I like to hold great companies for the long term. Cheers!",
"Great article Fluidsdoc, I keep a record of good write-ups about companies I've bought or am considering. .I bought CNOOC (CEO) last summer when it was around 110. I could sense oil was close to a bottom. I believe from where I bought CEO it will be an easy 100% gain within 1-2 years. I do not hold commodity stocks forever, like my buy/hold stocks (i.e., my Chinese buy/hold stocks PNGAY, NTES, NOAH... bought a few years ago). China depends on CNOOC. I decided it was the best choice compared to SNP and PTR.   I filed this url for my records covering CEO. Thanks!",
"Hey Fluidsdoc,Great presentation, as usual. I've been researching a few Chinese companies and will put this one on the watch list as it fits in with several of my investment goals this year. I believe you are correct re layering in (or waiting for a pull back) however, over the past few weeks, the China stocks have been on a tear upwards so we might be waiting awhile for said pullback. GDS, for example, has doubled over the past 6mo.My question to you is how do you rate CEO vs SNP and PTR? I was leaning more towards SNP d/t div, potential upside. I thought it may diversify and compliment my RDS.b holdings.Again, thx for the great article!",CNOOC: An Asian Oil Tiger Paying A Nice Dividend
The optics are good $340@10:30am,
I never realized how creepy looking the front of the car is until these pictures were posted. And people talk about how homely the Bolt is.,
very interesting but time will provide the anser,
"“Just a 3 second power failure, which happens there 2-3 times per week....""The Electrek poster who made this claim was discredited as not (or at least no longer) being a factory insider as he claimed. He stopped posting after failing to answer basic questions posed by people who were insiders.Perhaps they had some issues during startup. But you'd have to be an utter fool to think Panasonic is scrapping millions of cells over a problem that's trivial to fix. Anyone who did believe this tripe for more than two seconds should back away for a bit and re-examine their biases.Bias is the intelligent investor's #1 enemy.",
How is it that the biggest battery maker in the universe cannot manage to install a battery backup system on their factory floor?,
"Jason,I'm all about engaging in honest conversation. I responded to your point about R&D gross margin. What else would you like?",
"Tesla Model 3: The First Serious Reviewhttp://bit.ly/2F25vrE1)  Model 3 is in production and the end result is as people expected, a fantastic car.2)  Tesla will probably be able to produce 5000 a week sooner or later but more or less this year.3)  It is not clear if Tesla will be making a profit on the Model 3.4)  Tesla will probably have to raise money in the financial markets, but it is not clear if that will be on good or bad terms.  What happens if there is a cobalt shortage?  Is is possible cobalt supplies will end up at Tesla at the expense of other users.  For example if Tesla outbids Porsche and other auto makers, the price increase of Cobalt might be an advantage to Tesla. But I have to say, damned if I know.",
http://bit.ly/2EtbXaa   reminder competition is coming fast,
I find it a bit ironic that a company that makes energy storage products doesn't have them on their factory where a 3 second power outage is a disaster.,
Tesla believers are just getting saltier and saltier each day. and the spin is sounding more and more desperate. without a huge capital raise in the next few months what will Tesla do? this ship is sinking fast.,
"""The optics are worsening"", to me it simply looks like you put your ""short"" glasses on and no longer the ""neutral"" ones! ""Cobalt prices are rising"". This argument is valid for everyone else making BEVs or PHEVs!  Shorts then come up with argument that GM or VW do not care since they can sell BEVs at a loss while making profits on CUVs/SUVs. But for how long? PSA group already raised the price of Opel Ampera-e by a full 9000eur in EU because they were not willing to sell it at a loss! With China enforcing 10% of annual sales being BEVs by 2019, big players like GM or VW have the most to lose if they can't respect those quotas. Big picture is that ICEs are increasingly expensive to produce (particle filters, ad-blue, 48V mild-hybrid, downsizing, Alu body to save weight, etc) while BEVs require much less parts and benefit from falling costs of battery packs and PM motors! ""Just a 3 second power failure, which happens there 2-3 times per week is an extremely major production killer to Panasonic who makes the battery cells inside the Gigafactory"". If that's true, who says TSLA is not getting compensated for this? Also with Powerpacks in Australia reacting within millisecond to a coal power plant tripping; TSLA could easily use Powerpacks at its Gigafactory to solve those brown-out issues, if they exist. ""supporters trying to pivot""; you basically do the same thing by bringing the Space X Zuma story (which by the way is not clear yet) in your article to bring down TSLA so who is grasping at straws??",
"As a close follower of SpaceX and Tesla for many years, I see these companies moving in opposite directions. SpaceX has become the dominant player in their (niche) industry. They had more 2017 launches (18) than any other company or country. Tesla, on the other hand, is a minuscule player in their industry and they are headed for bankruptcy. Anyone who lumps these two companies together loses credibility to me.",
"Thank you for another interesting article. I find it a bit ironic that the gigafactory should be suffering big losses from small 3-second power outages. We would have thought that they know best how to get immune to those by using their very own (?) energy storage PowerWalls or whatever they call it.... Oh, wait, they're all sold out by off-the-hook demand, they flew out to customers so fast, they couldn't even grab some for themselves :-) .",
"Meanwhile, Tesla just announced that Solar roof production is beginning in Buffalo, NY.",
Some interesting statistics on lithium and cobalt from Bloomberg journalist Tom Randall: http://bit.ly/2FinF8K Large increases in the price of these raw materials only leads to very small increases in the sticker price of electric cars.,
I don't know anything about alleged power failures at the Gigafactory. I would simply caution that the Daily Kanban has published multiple articles about Tesla that later turned out to be false. I don't know if it's published a story on Tesla based on anonymous sources that turned out to be true. It's not a reliable source of news.,
As crypto gains market cap! Hmm go figure,
"Has anyone torn down and cross sectioned a Tesla 2170 cell yet, and measured the grams of cobalt per cell? Sorry, but I don't trust Petersen's estimates.",
Sorry to have repeated the very same thing. My app has bug and crashes all times I reply,
